id,Sex,Length,Diameter,Height,Whole weight,Whole weight.1,Whole weight.2,Shell weight,Rings
48351,I,0.41,0.305,0.095,0.369,0.1675,0.084,0.1,8
48352,F,0.515,0.425,0.145,0.849,0.3155,0.1825,0.255,13
48353,F,0.58,0.445,0.16,0.879,0.28,0.181,0.265,12
48354,I,0.46,0.35,0.105,0.4155,0.198,0.0875,0.1175,7
48355,F,0.575,0.45,0.155,0.908,0.4575,0.197,0.2385,9
48356,I,0.295,0.22,0.075,0.1255,0.0575,0.0295,0.0355,6
48357,I,0.54,0.425,0.13,0.7205,0.2955,0.186,0.235,13
48358,M,0.71,0.555,0.195,2.0725,0.8885,0.4095,0.5295,13
48359,F,0.575,0.45,0.145,0.886,0.3475,0.22,0.29,13
48360,F,0.57,0.46,0.15,1.168,0.6285,0.239,0.3285,9
48361,M,0.625,0.49,0.225,1.2915,0.4975,0.2945,0.37,10
48362,I,0.355,0.28,0.09,0.22,0.0885,0.05,0.075,6
48363,I,0.45,0.325,0.115,0.442,0.171,0.0855,0.1255,7
48364,M,0.545,0.42,0.14,0.7365,0.349,0.1625,0.23,8
48365,F,0.625,0.5,0.18,1.0815,0.4675,0.24,0.3135,9
48366,M,0.63,0.51,0.175,1.3385,0.6605,0.3275,0.398,10
48367,F,0.58,0.475,0.175,1.082,0.3905,0.2415,0.37,15
48368,F,0.575,0.42,0.19,1.764,0.8505,0.377,0.4095,10
48369,F,0.67,0.52,0.175,1.492,0.8115,0.3355,0.4395,11
48370,F,0.665,0.5,0.21,1.4385,0.479,0.302,0.47,19
48371,M,0.55,0.43,0.145,0.8175,0.3245,0.186,0.2285,11
48372,M,0.535,0.42,0.15,0.739,0.3145,0.1885,0.2125,10
48373,F,0.51,0.425,0.155,0.8785,0.3675,0.1695,0.235,13
48374,M,0.49,0.385,0.105,0.5415,0.2565,0.1265,0.175,8
48375,F,0.47,0.39,0.15,0.6355,0.2505,0.1515,0.255,15
48376,M,0.66,0.5,0.185,1.3905,0.693,0.297,0.39,10
48377,M,0.555,0.42,0.125,0.849,0.3665,0.1685,0.245,12
48378,M,0.57,0.45,0.145,0.9995,0.4325,0.247,0.3,13
48379,I,0.335,0.24,0.075,0.1595,0.0705,0.0495,0.044,7
48380,I,0.32,0.25,0.07,0.1895,0.0595,0.0385,0.045,5
48381,F,0.605,0.475,0.16,1.056,0.4635,0.2275,0.274,9
48382,M,0.575,0.45,0.145,1.0035,0.3885,0.2255,0.315,16
48383,I,0.355,0.265,0.085,0.2385,0.096,0.0675,0.0785,5
48384,F,0.655,0.535,0.205,1.494,0.7255,0.3345,0.405,12
48385,I,0.405,0.31,0.1,0.316,0.1315,0.061,0.095,8
48386,M,0.575,0.475,0.15,0.9335,0.403,0.1935,0.2615,10
48387,I,0.36,0.27,0.075,0.2,0.0885,0.042,0.055,6
48388,M,0.575,0.47,0.175,1.091,0.4615,0.2615,0.365,14
48389,M,0.55,0.45,0.16,0.959,0.3875,0.1835,0.33,14
48390,I,0.465,0.355,0.11,0.541,0.2385,0.081,0.1415,7
48391,I,0.465,0.37,0.1,0.4965,0.2485,0.082,0.126,7
48392,I,0.44,0.33,0.115,0.3915,0.1895,0.0885,0.1185,7
48393,F,0.46,0.345,0.115,0.4645,0.1925,0.1045,0.1225,8
48394,F,0.65,0.52,0.175,1.5175,0.69,0.3135,0.465,13
48395,M,0.515,0.395,0.16,0.9075,0.3495,0.2185,0.3,18
48396,M,0.38,0.305,0.095,0.3155,0.187,0.046,0.09,6
48397,M,0.555,0.425,0.135,0.812,0.4055,0.163,0.2215,10
48398,M,0.635,0.48,0.18,1.3575,0.6185,0.2985,0.33,9
48399,F,0.555,0.45,0.125,0.8155,0.3295,0.1915,0.24,10
48400,M,0.525,0.4,0.115,0.6095,0.248,0.133,0.175,9
48401,I,0.29,0.22,0.065,0.117,0.0425,0.0245,0.035,6
48402,F,0.565,0.45,0.115,1.065,0.4985,0.2165,0.2925,10
48403,F,0.67,0.55,0.195,1.514,0.546,0.4105,0.42,21
48404,I,0.55,0.425,0.14,0.8295,0.341,0.1635,0.235,12
48405,I,0.19,0.12,0.03,0.0105,0.0125,0.0045,0.005,4
48406,I,0.45,0.335,0.105,0.4555,0.1895,0.0895,0.1185,8
48407,F,0.58,0.465,0.165,0.967,0.467,0.2315,0.259,9
48408,M,0.585,0.465,0.185,0.9585,0.4145,0.1615,0.315,9
48409,M,0.675,0.515,0.185,1.492,0.6805,0.3355,0.4245,10
48410,I,0.495,0.375,0.125,0.5125,0.2185,0.125,0.16,10
48411,I,0.485,0.37,0.12,0.5395,0.2755,0.1075,0.14,8
48412,F,0.53,0.42,0.13,0.627,0.2635,0.1155,0.183,8
48413,I,0.365,0.275,0.095,0.2205,0.0985,0.044,0.066,7
48414,M,0.615,0.475,0.155,1.0385,0.4985,0.2445,0.2875,9
48415,F,0.555,0.425,0.13,0.7665,0.261,0.165,0.22,13
48416,I,0.375,0.23,0.08,0.121,0.0675,0.025,0.039,6
48417,I,0.435,0.325,0.095,0.347,0.1715,0.0675,0.11,7
48418,I,0.325,0.25,0.08,0.1735,0.0775,0.0355,0.06,7
48419,F,0.6,0.475,0.16,1.0385,0.5115,0.2315,0.25,9
48420,I,0.525,0.355,0.125,0.434,0.208,0.096,0.1315,8
48421,F,0.52,0.415,0.125,0.7715,0.3005,0.167,0.265,13
48422,F,0.59,0.425,0.15,0.853,0.27,0.183,0.26,14
48423,F,0.465,0.36,0.12,0.4955,0.2385,0.1025,0.135,8
48424,M,0.545,0.41,0.175,0.844,0.28,0.159,0.255,11
48425,I,0.575,0.455,0.16,0.955,0.3585,0.246,0.295,14
48426,F,0.58,0.44,0.165,0.9155,0.3645,0.2175,0.27,11
48427,I,0.355,0.275,0.085,0.2255,0.0935,0.056,0.072,7
48428,I,0.45,0.335,0.11,0.4305,0.18,0.073,0.1,7
48429,I,0.415,0.325,0.1,0.3105,0.1245,0.07,0.106,6
48430,I,0.51,0.39,0.11,0.633,0.272,0.111,0.185,8
48431,M,0.6,0.485,0.175,1.373,0.4995,0.3045,0.48,13
48432,F,0.635,0.48,0.18,1.3485,0.5895,0.3135,0.46,16
48433,M,0.585,0.46,0.14,0.9045,0.405,0.1915,0.251,9
48434,M,0.59,0.455,0.125,0.966,0.45,0.2145,0.249,9
48435,I,0.58,0.455,0.155,0.966,0.4245,0.2165,0.3095,10
48436,I,0.365,0.275,0.095,0.1805,0.077,0.0575,0.06,9
48437,M,0.43,0.315,0.09,0.3895,0.143,0.065,0.115,8
48438,I,0.56,0.445,0.175,0.9385,0.3685,0.189,0.3,13
48439,M,0.475,0.36,0.125,0.532,0.233,0.13,0.1465,8
48440,M,0.56,0.43,0.14,0.8115,0.3645,0.1615,0.2365,9
48441,M,0.525,0.41,0.135,0.6335,0.2625,0.1385,0.2235,11
48442,I,0.275,0.215,0.05,0.1045,0.054,0.0215,0.027,6
48443,F,0.595,0.47,0.16,1.0145,0.479,0.2405,0.305,9
48444,M,0.53,0.42,0.14,0.6195,0.279,0.149,0.2,8
48445,I,0.495,0.385,0.125,0.5705,0.2375,0.1085,0.185,8
48446,F,0.675,0.55,0.175,1.689,0.694,0.318,0.474,13
48447,I,0.55,0.44,0.13,0.8205,0.4275,0.1735,0.24,8
48448,F,0.6,0.475,0.155,1.0185,0.4695,0.214,0.2945,10
48449,I,0.515,0.395,0.13,0.6125,0.3015,0.1465,0.175,11
48450,M,0.6,0.46,0.15,1.1245,0.543,0.257,0.294,10
48451,M,0.66,0.525,0.19,1.4915,0.6325,0.343,0.42,11
48452,F,0.665,0.535,0.2,1.596,0.617,0.3135,0.485,14
48453,F,0.615,0.47,0.155,1.2435,0.6185,0.2975,0.3215,9
48454,I,0.485,0.375,0.1,0.4725,0.2235,0.095,0.15,8
48455,M,0.595,0.465,0.17,1.4275,0.5165,0.2625,0.405,19
48456,F,0.545,0.41,0.145,0.7555,0.2455,0.17,0.22,14
48457,M,0.715,0.525,0.19,1.872,0.938,0.4095,0.446,11
48458,M,0.475,0.38,0.13,0.441,0.2025,0.1055,0.1555,10
48459,F,0.61,0.485,0.15,1.1405,0.463,0.2635,0.32,10
48460,M,0.58,0.455,0.145,0.907,0.4245,0.217,0.25,11
48461,I,0.51,0.38,0.125,0.63,0.3095,0.1385,0.155,8
48462,M,0.37,0.28,0.1,0.2605,0.1215,0.059,0.0735,7
48463,M,0.745,0.565,0.195,1.966,0.8445,0.3935,0.5755,11
48464,M,0.495,0.39,0.135,0.6335,0.3035,0.1285,0.16,8
48465,M,0.69,0.515,0.175,1.7925,0.9165,0.3325,0.341,11
48466,M,0.51,0.435,0.115,0.77,0.297,0.1615,0.2,8
48467,M,0.535,0.43,0.14,0.769,0.346,0.1655,0.215,10
48468,I,0.305,0.23,0.08,0.1465,0.063,0.0335,0.035,6
48469,I,0.45,0.345,0.12,0.4495,0.213,0.0945,0.13,8
48470,M,0.645,0.51,0.175,1.46,0.6375,0.3485,0.3665,10
48471,F,0.675,0.525,0.175,1.3315,0.5115,0.2635,0.395,8
48472,I,0.595,0.46,0.15,0.995,0.4405,0.2055,0.2705,8
48473,M,0.65,0.49,0.175,1.218,0.5305,0.25,0.3065,10
48474,F,0.435,0.35,0.14,0.4745,0.213,0.123,0.1275,19
48475,F,0.57,0.445,0.145,0.8265,0.4035,0.1905,0.225,9
48476,M,0.475,0.375,0.13,0.556,0.2975,0.1045,0.16,9
48477,I,0.5,0.375,0.115,0.5805,0.28,0.1155,0.16,8
48478,M,0.45,0.35,0.125,0.48,0.1735,0.1055,0.145,11
48479,M,0.395,0.295,0.095,0.3,0.1605,0.0575,0.115,10
48480,M,0.6,0.475,0.155,1.1495,0.564,0.272,0.269,9
48481,M,0.665,0.52,0.18,1.4385,0.566,0.2635,0.49,19
48482,I,0.415,0.325,0.1,0.3685,0.1785,0.095,0.09,7
48483,I,0.515,0.405,0.125,0.6115,0.3125,0.147,0.2099,8
48484,F,0.47,0.39,0.14,0.56,0.2185,0.1265,0.18,12
48485,I,0.435,0.335,0.11,0.385,0.1635,0.091,0.125,9
48486,I,0.475,0.355,0.105,0.4965,0.2315,0.1055,0.15,8
48487,I,0.345,0.26,0.085,0.2055,0.096,0.0355,0.063,6
48488,M,0.6,0.47,0.15,0.964,0.4145,0.2325,0.2765,10
48489,I,0.18,0.13,0.045,0.0275,0.0125,0.008,0.009,5
48490,I,0.24,0.165,0.045,0.046,0.0135,0.008,0.0105,5
48491,I,0.48,0.37,0.135,0.5255,0.2175,0.1185,0.156,8
48492,M,0.52,0.415,0.17,0.849,0.2735,0.1765,0.235,14
48493,M,0.6,0.45,0.14,0.831,0.3585,0.2025,0.22,9
48494,F,0.5,0.375,0.145,0.741,0.295,0.196,0.205,15
48495,F,0.6,0.475,0.15,1.0875,0.371,0.2405,0.2985,10
48496,F,0.555,0.42,0.145,0.858,0.3615,0.1685,0.2295,9
48497,F,0.585,0.475,0.155,0.9125,0.387,0.169,0.26,13
48498,M,0.38,0.305,0.085,0.2605,0.1165,0.0515,0.0775,7
48499,M,0.55,0.435,0.14,0.804,0.3255,0.196,0.225,9
48500,F,0.595,0.46,0.17,1.0455,0.414,0.1905,0.398,11
48501,F,0.53,0.405,0.12,0.5965,0.24,0.1465,0.185,12
48502,F,0.67,0.535,0.175,1.636,0.7455,0.2925,0.435,11
48503,M,0.66,0.535,0.145,1.3055,0.594,0.326,0.375,11
48504,M,0.575,0.445,0.14,0.867,0.3765,0.1815,0.268,9
48505,M,0.775,0.57,0.22,2.032,0.735,0.4755,0.6585,20
48506,I,0.575,0.445,0.17,0.8015,0.3375,0.1465,0.25,9
48507,F,0.62,0.48,0.175,1.1465,0.566,0.2835,0.32,10
48508,I,0.21,0.15,0.045,0.0345,0.0105,0.0085,0.01,3
48509,M,0.565,0.44,0.15,0.853,0.3285,0.1825,0.255,12
48510,M,0.565,0.455,0.155,1.005,0.4415,0.2445,0.26,15
48511,F,0.575,0.475,0.14,0.957,0.4205,0.182,0.275,9
48512,I,0.42,0.31,0.1,0.368,0.1675,0.081,0.1025,7
48513,F,0.615,0.5,0.185,1.286,0.5675,0.288,0.37,10
48514,F,0.515,0.39,0.125,0.656,0.2945,0.1715,0.19,9
48515,I,0.405,0.305,0.09,0.2625,0.1,0.056,0.08,7
48516,M,0.32,0.23,0.08,0.1695,0.071,0.0265,0.042,6
48517,M,0.615,0.48,0.2,1.2595,0.531,0.2715,0.3835,9
48518,I,0.52,0.41,0.125,0.5935,0.239,0.13,0.204,8
48519,I,0.38,0.275,0.08,0.2225,0.127,0.0245,0.068,6
48520,F,0.585,0.475,0.17,1.0855,0.4225,0.227,0.345,21
48521,F,0.565,0.45,0.15,0.9645,0.3445,0.1845,0.3,12
48522,I,0.43,0.34,0.12,0.4165,0.165,0.081,0.135,8
48523,M,0.665,0.53,0.18,1.4385,0.578,0.315,0.38,13
48524,I,0.535,0.435,0.155,0.837,0.3115,0.1715,0.255,13
48525,F,0.605,0.475,0.175,1.1345,0.4895,0.2705,0.34,9
48526,F,0.64,0.51,0.195,1.36,0.5305,0.3425,0.48,17
48527,I,0.275,0.2,0.065,0.096,0.037,0.0225,0.03,5
48528,M,0.67,0.52,0.155,1.278,0.639,0.259,0.31,9
48529,F,0.535,0.395,0.135,0.7635,0.3375,0.1425,0.225,10
48530,M,0.57,0.425,0.15,0.868,0.2955,0.1715,0.265,17
48531,I,0.52,0.415,0.14,0.6385,0.269,0.1315,0.171,8
48532,M,0.605,0.49,0.19,1.1345,0.4305,0.2755,0.42,12
48533,I,0.51,0.385,0.135,0.6295,0.3045,0.143,0.1605,7
48534,I,0.455,0.355,0.11,0.471,0.2105,0.1125,0.135,8
48535,I,0.585,0.43,0.125,0.8025,0.3485,0.166,0.2225,8
48536,M,0.695,0.51,0.235,2.1055,1.1455,0.436,0.435,9
48537,M,0.55,0.415,0.14,0.8495,0.4,0.173,0.217,8
48538,M,0.595,0.46,0.175,0.907,0.2785,0.1735,0.32,15
48539,F,0.62,0.485,0.19,1.2125,0.4865,0.2045,0.37,18
48540,M,0.53,0.415,0.13,0.764,0.349,0.1415,0.2,9
48541,I,0.435,0.325,0.1,0.326,0.1335,0.0575,0.0965,7
48542,M,0.645,0.515,0.165,1.056,0.4475,0.252,0.315,10
48543,I,0.505,0.405,0.135,0.6785,0.2965,0.143,0.2,9
48544,F,0.44,0.345,0.115,0.3595,0.1425,0.0585,0.11,11
48545,F,0.535,0.435,0.145,0.873,0.3135,0.1635,0.265,14
48546,M,0.62,0.48,0.175,1.1115,0.493,0.262,0.31,11
48547,M,0.515,0.395,0.13,0.549,0.2215,0.1285,0.15,11
48548,F,0.645,0.49,0.15,1.146,0.5455,0.2315,0.293,9
48549,M,0.575,0.475,0.155,1.065,0.4865,0.2475,0.275,9
48550,F,0.475,0.365,0.125,0.6245,0.2855,0.1455,0.15,7
48551,M,0.61,0.475,0.165,0.9525,0.4555,0.1945,0.2725,10
48552,M,0.62,0.47,0.15,1.0005,0.4605,0.2105,0.265,10
48553,M,0.615,0.475,0.155,1.0385,0.4435,0.2165,0.36,10
48554,M,0.625,0.495,0.18,1.3035,0.573,0.2735,0.32,9
48555,M,0.7,0.565,0.175,1.959,0.7665,0.44,0.49,11
48556,I,0.425,0.33,0.11,0.3515,0.141,0.071,0.12,8
48557,I,0.47,0.35,0.125,0.6025,0.2385,0.103,0.1695,8
48558,M,0.365,0.275,0.085,0.2225,0.092,0.0435,0.06,6
48559,M,0.51,0.375,0.125,0.6515,0.3395,0.1345,0.1625,7
48560,I,0.41,0.325,0.115,0.361,0.1605,0.09,0.103,8
48561,M,0.67,0.52,0.19,1.5245,0.6435,0.3365,0.415,12
48562,M,0.515,0.435,0.13,0.7665,0.3445,0.1805,0.2185,9
48563,I,0.42,0.325,0.12,0.397,0.17,0.081,0.1145,6
48564,F,0.6,0.475,0.15,1.073,0.4775,0.2025,0.2865,9
48565,F,0.685,0.565,0.175,1.711,0.637,0.342,0.565,17
48566,F,0.5,0.4,0.135,0.622,0.2635,0.1455,0.21,13
48567,M,0.535,0.435,0.135,0.8105,0.3155,0.1955,0.25,10
48568,M,0.385,0.3,0.095,0.3175,0.138,0.061,0.09,8
48569,I,0.41,0.345,0.1,0.2805,0.1135,0.055,0.106,6
48570,I,0.4,0.29,0.1,0.318,0.1335,0.0725,0.085,6
48571,F,0.57,0.475,0.175,1.099,0.3975,0.202,0.37,13
48572,I,0.41,0.305,0.105,0.3325,0.1575,0.075,0.0875,7
48573,M,0.54,0.42,0.155,0.829,0.3725,0.1625,0.246,10
48574,M,0.555,0.45,0.165,0.998,0.341,0.1845,0.345,11
48575,I,0.3,0.22,0.075,0.1245,0.059,0.0235,0.04,6
48576,I,0.28,0.2,0.08,0.073,0.0365,0.0165,0.03,5
48577,M,0.57,0.455,0.14,0.952,0.3895,0.2185,0.2745,9
48578,M,0.615,0.495,0.15,1.3305,0.783,0.2685,0.345,11
48579,F,0.65,0.515,0.175,1.4685,0.6465,0.297,0.4095,12
48580,I,0.28,0.205,0.055,0.101,0.0445,0.0305,0.0285,5
48581,F,0.62,0.5,0.175,1.088,0.4905,0.2475,0.31,9
48582,M,0.665,0.515,0.19,1.6385,0.831,0.3575,0.391,10
48583,I,0.425,0.3,0.095,0.3415,0.1655,0.063,0.093,8
48584,I,0.385,0.3,0.095,0.2875,0.1165,0.06,0.09,8
48585,F,0.59,0.46,0.175,1.07,0.377,0.2385,0.355,18
48586,I,0.42,0.315,0.09,0.3195,0.134,0.0735,0.095,7
48587,F,0.6,0.495,0.145,1.1315,0.5255,0.26,0.305,10
48588,F,0.61,0.45,0.15,0.931,0.377,0.1815,0.2765,9
48589,M,0.595,0.465,0.15,1.044,0.518,0.2205,0.275,9
48590,I,0.315,0.235,0.08,0.1385,0.0565,0.03,0.047,6
48591,F,0.495,0.42,0.125,0.6775,0.301,0.134,0.1825,10
48592,F,0.61,0.47,0.17,1.224,0.3975,0.2775,0.29,12
48593,I,0.38,0.275,0.085,0.217,0.0915,0.056,0.09,7
48594,M,0.64,0.515,0.16,1.202,0.565,0.3115,0.3465,10
48595,I,0.43,0.34,0.09,0.279,0.122,0.05,0.0825,8
48596,I,0.565,0.45,0.135,0.7805,0.3395,0.1785,0.24,12
48597,F,0.62,0.485,0.175,1.3135,0.5535,0.3055,0.365,10
48598,M,0.655,0.51,0.18,1.7835,0.8885,0.4095,0.331,9
48599,F,0.455,0.335,0.11,0.4085,0.1515,0.076,0.15,10
48600,F,0.515,0.395,0.135,0.6275,0.2735,0.111,0.185,11
48601,F,0.54,0.42,0.155,0.7665,0.2565,0.1805,0.22,14
48602,M,0.615,0.475,0.18,1.3905,0.566,0.2145,0.42,14
48603,F,0.47,0.355,0.11,0.479,0.22,0.1175,0.185,9
48604,I,0.25,0.18,0.055,0.0705,0.0235,0.0185,0.0215,6
48605,M,0.625,0.5,0.185,1.264,0.5725,0.2735,0.335,9
48606,F,0.595,0.46,0.21,1.133,0.4375,0.2925,0.335,10
48607,M,0.53,0.42,0.13,0.7995,0.3135,0.156,0.2185,10
48608,I,0.45,0.355,0.105,0.4955,0.216,0.11,0.12,7
48609,I,0.385,0.29,0.08,0.2775,0.1305,0.0605,0.0765,6
48610,I,0.515,0.4,0.135,0.723,0.377,0.149,0.178,8
48611,M,0.5,0.385,0.13,0.6425,0.3285,0.1205,0.1535,9
48612,M,0.735,0.525,0.155,1.74,0.742,0.3195,0.44,12
48613,M,0.645,0.495,0.155,1.2205,0.6145,0.2605,0.3185,9
48614,F,0.585,0.5,0.185,0.886,0.4375,0.1605,0.28,10
48615,M,0.525,0.4,0.135,0.7625,0.289,0.1745,0.16,7
48616,M,0.175,0.125,0.035,0.029,0.0095,0.0065,0.008,4
48617,M,0.65,0.525,0.19,1.363,0.5995,0.3585,0.385,13
48618,M,0.53,0.455,0.155,0.9845,0.4495,0.2075,0.271,10
48619,M,0.545,0.42,0.125,0.7865,0.403,0.1815,0.1795,8
48620,I,0.37,0.28,0.08,0.2445,0.108,0.043,0.07,6
48621,F,0.59,0.465,0.155,0.9885,0.3805,0.1835,0.335,13
48622,F,0.595,0.475,0.175,1.0765,0.401,0.246,0.415,23
48623,F,0.59,0.46,0.145,0.9685,0.4475,0.185,0.2625,9
48624,I,0.435,0.335,0.13,0.3795,0.1545,0.073,0.1045,8
48625,M,0.5,0.375,0.135,0.6215,0.305,0.165,0.175,9
48626,M,0.56,0.45,0.145,0.9285,0.405,0.24,0.2575,9
48627,M,0.59,0.455,0.15,1.082,0.433,0.2725,0.315,11
48628,M,0.595,0.46,0.135,0.921,0.357,0.181,0.29,11
48629,F,0.655,0.53,0.175,1.5515,0.65,0.3835,0.3735,13
48630,M,0.535,0.44,0.145,0.879,0.3035,0.2235,0.25,12
48631,I,0.63,0.47,0.17,1.1835,0.624,0.2355,0.3085,10
48632,I,0.21,0.13,0.04,0.046,0.017,0.0065,0.01,4
48633,M,0.525,0.4,0.13,0.6515,0.2755,0.2095,0.175,12
48634,F,0.57,0.45,0.17,1.3485,0.5305,0.2785,0.405,16
48635,M,0.58,0.46,0.135,0.92,0.412,0.217,0.2,9
48636,M,0.21,0.15,0.03,0.0385,0.0115,0.005,0.01,3
48637,I,0.175,0.13,0.04,0.0235,0.009,0.0065,0.007,4
48638,I,0.435,0.365,0.105,0.409,0.2175,0.0835,0.123,7
48639,M,0.62,0.42,0.165,0.9505,0.4915,0.2245,0.228,9
48640,M,0.56,0.425,0.155,0.8285,0.3575,0.1785,0.24,12
48641,M,0.59,0.47,0.15,1.1785,0.539,0.2705,0.28,10
48642,I,0.385,0.3,0.085,0.304,0.1145,0.071,0.063,8
48643,F,0.6,0.475,0.17,1.122,0.4635,0.2655,0.3085,11
48644,I,0.475,0.36,0.13,0.4775,0.2115,0.1045,0.125,6
48645,M,0.62,0.5,0.16,1.2235,0.481,0.2575,0.355,13
48646,M,0.61,0.485,0.155,1.0385,0.4975,0.2425,0.288,9
48647,M,0.665,0.54,0.185,1.528,0.5825,0.298,0.455,10
48648,I,0.295,0.215,0.07,0.118,0.0405,0.0235,0.032,7
48649,F,0.45,0.355,0.125,0.458,0.2225,0.098,0.123,9
48650,I,0.425,0.31,0.095,0.3575,0.1395,0.0795,0.1,8
48651,F,0.705,0.535,0.175,1.675,0.797,0.4025,0.405,11
48652,F,0.595,0.47,0.145,0.933,0.442,0.1845,0.255,8
48653,M,0.725,0.55,0.2,1.757,0.8665,0.3645,0.461,11
48654,M,0.575,0.48,0.195,1.1405,0.5495,0.2215,0.355,9
48655,M,0.67,0.56,0.195,1.9835,0.8145,0.3035,0.495,11
48656,I,0.465,0.355,0.145,0.498,0.2395,0.099,0.14,8
48657,M,0.53,0.425,0.15,0.7145,0.3205,0.1445,0.2475,9
48658,F,0.56,0.44,0.165,0.873,0.3775,0.184,0.2615,10
48659,M,0.46,0.355,0.11,0.4625,0.2315,0.108,0.113,7
48660,I,0.335,0.23,0.075,0.1525,0.0605,0.0355,0.045,6
48661,I,0.27,0.2,0.06,0.0965,0.03,0.0215,0.032,5
48662,I,0.55,0.415,0.145,0.7125,0.3065,0.1615,0.205,10
48663,F,0.605,0.455,0.16,1.1325,0.547,0.231,0.271,9
48664,I,0.31,0.215,0.07,0.0875,0.031,0.022,0.0255,6
48665,F,0.555,0.455,0.15,1.04,0.3145,0.235,0.26,14
48666,F,0.645,0.505,0.17,1.5365,0.6715,0.3525,0.4,13
48667,I,0.255,0.19,0.07,0.084,0.0255,0.0215,0.025,5
48668,F,0.565,0.41,0.225,0.6665,0.2385,0.132,0.19,15
48669,I,0.4,0.3,0.1,0.3025,0.1365,0.06,0.0965,6
48670,F,0.485,0.36,0.12,0.5415,0.2145,0.127,0.1385,8
48671,F,0.64,0.485,0.175,1.5175,0.7765,0.302,0.409,10
48672,I,0.45,0.335,0.125,0.452,0.22,0.117,0.12,8
48673,I,0.35,0.245,0.09,0.187,0.064,0.0265,0.0385,6
48674,M,0.425,0.32,0.105,0.394,0.1245,0.0955,0.1,7
48675,F,0.72,0.565,0.175,1.7495,0.797,0.3585,0.437,10
48676,I,0.47,0.36,0.11,0.447,0.1695,0.082,0.15,10
48677,F,0.58,0.46,0.145,0.9705,0.4415,0.263,0.255,9
48678,F,0.52,0.4,0.14,0.6335,0.2675,0.1275,0.22,11
48679,I,0.31,0.225,0.075,0.1385,0.058,0.037,0.045,7
48680,M,0.58,0.47,0.165,1.0735,0.437,0.2215,0.305,13
48681,M,0.565,0.44,0.15,0.9845,0.3745,0.2465,0.295,10
48682,I,0.315,0.23,0.075,0.1515,0.0595,0.0335,0.04,6
48683,I,0.515,0.4,0.145,0.7085,0.3465,0.1455,0.175,9
48684,M,0.57,0.455,0.155,0.8875,0.3465,0.1715,0.263,9
48685,M,0.575,0.47,0.16,0.869,0.3425,0.191,0.225,8
48686,I,0.36,0.27,0.09,0.2,0.092,0.0545,0.0655,9
48687,M,0.57,0.435,0.155,0.984,0.4385,0.2185,0.265,11
48688,M,0.57,0.435,0.155,0.9395,0.4275,0.214,0.27,10
48689,I,0.255,0.19,0.065,0.081,0.0295,0.0155,0.0215,6
48690,I,0.475,0.365,0.125,0.492,0.211,0.114,0.1465,9
48691,F,0.335,0.25,0.1,0.19,0.0865,0.0485,0.0615,6
48692,M,0.565,0.44,0.16,0.8795,0.3435,0.207,0.275,12
48693,I,0.39,0.29,0.09,0.281,0.146,0.0575,0.095,7
48694,F,0.5,0.38,0.155,0.6295,0.2385,0.1245,0.17,9
48695,I,0.295,0.215,0.07,0.129,0.05,0.0295,0.035,6
48696,F,0.65,0.525,0.19,1.6275,0.667,0.3595,0.41,15
48697,F,0.555,0.44,0.135,0.869,0.3285,0.169,0.27,10
48698,F,0.655,0.51,0.175,1.3905,0.711,0.2975,0.375,9
48699,F,0.585,0.465,0.15,0.98,0.4245,0.2195,0.247,9
48700,M,0.59,0.465,0.15,1.102,0.4625,0.2025,0.33,9
48701,I,0.52,0.405,0.125,0.6515,0.2545,0.1655,0.205,8
48702,M,0.54,0.41,0.13,0.738,0.2885,0.1755,0.194,8
48703,M,0.565,0.435,0.14,0.812,0.3,0.1575,0.255,14
48704,M,0.58,0.45,0.16,0.922,0.342,0.2065,0.26,18
48705,M,0.505,0.385,0.115,0.5185,0.2,0.11,0.15,7
48706,F,0.52,0.395,0.125,0.8115,0.4035,0.1775,0.2,8
48707,F,0.6,0.465,0.14,1.0325,0.4005,0.2075,0.2845,9
48708,F,0.5,0.375,0.125,0.5925,0.27,0.11,0.18,8
48709,F,0.445,0.345,0.115,0.4085,0.1515,0.093,0.12,9
48710,M,0.73,0.575,0.18,1.859,0.9265,0.3395,0.446,11
48711,I,0.52,0.38,0.115,0.5125,0.1895,0.159,0.195,10
48712,F,0.505,0.385,0.135,0.601,0.2675,0.1205,0.17,9
48713,F,0.615,0.495,0.15,1.2615,0.5335,0.2815,0.31,9
48714,M,0.6,0.41,0.155,0.9745,0.4315,0.189,0.2195,10
48715,M,0.545,0.42,0.14,0.831,0.3795,0.1455,0.2105,9
48716,M,0.37,0.275,0.1,0.2225,0.0835,0.056,0.08,8
48717,I,0.53,0.415,0.125,0.7665,0.32,0.1405,0.18,8
48718,F,0.695,0.55,0.215,1.959,0.8795,0.407,0.455,9
48719,F,0.5,0.4,0.15,0.637,0.249,0.1355,0.195,10
48720,M,0.545,0.41,0.135,0.776,0.3745,0.186,0.19,9
48721,I,0.425,0.325,0.11,0.3265,0.1415,0.0725,0.085,6
48722,I,0.36,0.26,0.08,0.2045,0.09,0.033,0.065,5
48723,M,0.565,0.45,0.16,0.8795,0.237,0.1835,0.285,16
48724,I,0.51,0.385,0.11,0.599,0.2485,0.135,0.161,9
48725,F,0.45,0.35,0.135,0.458,0.1685,0.0925,0.155,13
